event_id,event_label,mode,date,false_bottom_risk_level,buy_delay_flag,delay_strength,reset_ready_flag,reset_confidence,reset_reason,fast_snapback_flag,override_strength,override_reason,snapback_candidate_flag,low_reentry_flag,first_buy_override_used,override_triggered,state_after_trade,trade_reason
2011-06,2011 Debt Ceiling,guard_phase2,2010-01-21,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-01-22,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-01-25,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-01-26,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-01-27,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-01-28,LOW,false,NONE,false,LOW,EXHAUSTION,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-01-29,LOW,false,NONE,false,LOW,EXHAUSTION,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-02-01,LOW,false,NONE,false,LOW,EXHAUSTION,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-02-02,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-02-03,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-02-04,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-02-05,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-02-08,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-02-09,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-02-10,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-02-11,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-02-12,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-02-16,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-02-17,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-02-18,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-02-19,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-02-22,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-02-23,LOW,false,NONE,false,LOW,EXHAUSTION,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-02-24,LOW,false,NONE,false,LOW,EXHAUSTION,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-02-25,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-02-26,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-03-01,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-03-02,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
2011-06,2011 Debt Ceiling,guard_phase2,2010-03-03,LOW,false,NONE,false,LOW,STRUCTURE,false,NONE,SNAPBACK,false,false,false,false,hold,
